# time of execution: 2022-07-22 16:23:20
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, 1.0]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=2
# dx=[2.856e-10, 3.6e-10]	dy=[2.856e-10, 3.6e-10]	dz=[2.856e-10, 5.8e-10]	[m]
# atoms per unit cell:[2, 7.5]
# asf=[0.035, 0.12]
# Jint=0[J]
# Hex=0[J]
# gep=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AC3B0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796450>][W/m^3/K]
# factor cv_el=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AA4F0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796540>][J/m^3/K^2]
# cv_ph=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97A86D0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796860>][J/m^3/K]
# Tc=[1041, 293][K]
# T_Deb=[396, 160][K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
0.76	[array([0.99999853]), array([0.99924663])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.77	[array([0.99999851]), array([0.9992368])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.78	[array([0.99999849]), array([0.99922698])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.79	[array([0.99999847]), array([0.99921716])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.8	[array([0.99999845]), array([0.99920735])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.81	[array([0.99999844]), array([0.99919753])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.82	[array([0.99999842]), array([0.99918772])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.83	[array([0.9999984]), array([0.99917791])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.84	[array([0.99999838]), array([0.9991681])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.85	[array([0.99999837]), array([0.9991583])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.86	[array([0.99999835]), array([0.99914849])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.87	[array([0.99999833]), array([0.99913869])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.88	[array([0.99999831]), array([0.9991289])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.89	[array([0.9999983]), array([0.9991191])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.9	[array([0.99999828]), array([0.99910931])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.91	[array([0.99999826]), array([0.99909951])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.92	[array([0.99999824]), array([0.99908972])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.93	[array([0.99999823]), array([0.99907994])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.94	[array([0.99999821]), array([0.99907015])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
0.95	[array([0.99999819]), array([0.99906037])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
