# time of execution: 2022-08-03 17:58:17
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:7.5
# asf=0.12
# sdrate=1.5e-10
# sdissrate=1e-13
# rhosd=1e-19
# lambda=1e+16[W/m^3/K]
# gep=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D32C0>[W/m^3/K]
# factor cv_el=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D3C20>[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 4.673959588570301e-06[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-10[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J]
0.8	0.9981543933682557	100.0	100.0	0.0	0.0	0.0	0.0	-3.147153252676734e-23
0.8099999999999999	0.9981227310143654	100.0	100.0	0.0	0.0	0.0	0.0	-3.073314200323243e-23
0.82	0.9980910986719105	100.0	100.0	0.0	0.0	0.0	0.0	-3.007906665406693e-23
0.83	0.9980594961981836	100.0	100.0	0.0	0.0	0.0	0.0	-2.9499370080970906e-23
0.84	0.9980279234641264	100.0	100.0	0.0	0.0	0.0	0.0	-2.8985287169823047e-23
0.85	0.9979963803527065	100.0	100.0	0.0	0.0	0.0	0.0	-2.8529086024578786e-23
0.86	0.9979648667574793	100.0	100.0	0.0	0.0	0.0	0.0	-2.812394617498771e-23
0.87	0.997933382581319	100.0	100.0	0.0	0.0	0.0	0.0	-2.7763851140168396e-23
0.88	0.9979019277352992	100.0	100.0	0.0	0.0	0.0	0.0	-2.744349365744434e-23
0.8899999999999999	0.9978705021377037	100.0	100.0	0.0	0.0	0.0	0.0	-2.7158192083377745e-23
0.9	0.9978391057131555	100.0	100.0	0.0	0.0	0.0	0.0	-2.690381664648266e-23
0.9099999999999999	0.9978077383918513	100.0	100.0	0.0	0.0	0.0	0.0	-2.667672439501545e-23
0.9199999999999999	0.9977764001088846	100.0	100.0	0.0	0.0	0.0	0.0	-2.6473701812110286e-23
