# time of execution: 2021-05-24 15:37:36
#model:['m3tm', 'm3tm']
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:235.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, -0.612]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=[ 5 15]
# dx=[2.856e-10, 3e-10]	dy=[2.856e-10, 3e-10]	dz=[2.856e-10, 3e-10]	[m]
# atoms per unit cell:[2, 2]
# asf=[0.035, 0.01]
# Jint=-9.439036996666667e-21[J]
# Hex=9.274000000000001e-23[J]
# Tc=[1041, 293][K]
# T_Deb=[396, 1][K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=1.8e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
0.11	[0.98527, 0.98645, 0.98645, 0.98645, 0.98557]	[-0.61113, -0.61185, -0.61185, -0.61185, -0.61185, -0.61185, -0.61185, -0.61185, -0.61185, -0.61185, -0.61185, -0.61185, -0.61185, -0.61184, -0.60447]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.12	[0.98517, 0.98646, 0.98646, 0.98646, 0.9855]	[-0.61105, -0.61183, -0.61183, -0.61183, -0.61183, -0.61183, -0.61183, -0.61183, -0.61183, -0.61183, -0.61183, -0.61183, -0.61183, -0.61182, -0.60379]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.13	[0.98508, 0.98647, 0.98647, 0.98647, 0.98544]	[-0.61097, -0.61182, -0.61182, -0.61182, -0.61182, -0.61182, -0.61182, -0.61182, -0.61182, -0.61182, -0.61182, -0.61182, -0.61182, -0.6118, -0.60312]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.14	[0.98499, 0.98649, 0.98649, 0.98649, 0.98537]	[-0.61089, -0.6118, -0.6118, -0.6118, -0.6118, -0.6118, -0.6118, -0.6118, -0.6118, -0.6118, -0.6118, -0.6118, -0.6118, -0.61179, -0.60244]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.15	[0.9849, 0.9865, 0.9865, 0.9865, 0.9853]	[-0.61081, -0.61179, -0.61179, -0.61179, -0.61179, -0.61179, -0.61179, -0.61179, -0.61179, -0.61179, -0.61179, -0.61179, -0.61179, -0.61177, -0.60176]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.16	[0.9848, 0.98651, 0.98651, 0.98651, 0.98524]	[-0.61074, -0.61177, -0.61178, -0.61178, -0.61178, -0.61178, -0.61178, -0.61178, -0.61178, -0.61178, -0.61178, -0.61178, -0.61178, -0.61176, -0.60109]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.17	[0.98471, 0.98653, 0.98653, 0.98653, 0.98517]	[-0.61066, -0.61176, -0.61176, -0.61176, -0.61176, -0.61176, -0.61176, -0.61176, -0.61176, -0.61176, -0.61176, -0.61176, -0.61176, -0.61174, -0.60041]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.18	[0.98462, 0.98654, 0.98654, 0.98654, 0.98511]	[-0.61058, -0.61175, -0.61175, -0.61175, -0.61175, -0.61175, -0.61175, -0.61175, -0.61175, -0.61175, -0.61175, -0.61175, -0.61175, -0.61172, -0.59974]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.19	[0.98453, 0.98655, 0.98655, 0.98655, 0.98504]	[-0.6105, -0.61173, -0.61173, -0.61173, -0.61173, -0.61173, -0.61173, -0.61173, -0.61173, -0.61173, -0.61173, -0.61173, -0.61173, -0.61171, -0.59907]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
0.2	[0.98444, 0.98657, 0.98657, 0.98657, 0.98498]	[-0.61042, -0.61172, -0.61172, -0.61172, -0.61172, -0.61172, -0.61172, -0.61172, -0.61172, -0.61172, -0.61172, -0.61172, -0.61172, -0.61169, -0.5984]	[235.0, 235.0]	[235.0, 235.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]
